ID,ISO,Country,Member Organization,Number of Active Organizations:
1,AFG,Afghanistan,"ACDI/VOCA, Action Against Hunger | ACF International, ActionAid International USA, Adventist Development and Relief Agency International, Aga Khan Foundation USA, Air Serv International, American Jewish World Service, American Red Cross International Services, AmeriCares, America's Development Foundation, BRAC USA, Brother's Brother Foundation, Campaign for Innocent Victims in Conflict, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Reformed World Relief Committee, Church World Service, CONCERN Worldwide, Counterpart International, Direct Relief International, Education Development Center (EDC), Episcopal Relief & Development, Friends of ACTED, Giving Children Hope, Global Fund for Children, Global Health Council, GlobalGiving, Habitat for Humanity International, Handicap International USA, Heart to Heart International, Heartland Alliance, Helping Hand for Relief and Development, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Medical Corps, International Relief & Development, International Rescue Committee (IRC), Islamic Relief USA, Jesuit Refugee Service, Jhpiego, Life for Relief and Development, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Emergency Relief International (Merlin), Medical Teams International, Mercy Corps, Operation Blessing International Relief and Development Corporation, Project C.U.R.E, ProLiteracy Worldwide, Refugees International, Relief International, Save the Children, Stop Hunger Now, Taiwan Buddhist Tzu Chi Foundation, Unitarian Universalist Service Committee, United Methodist Committee on Relief, USA for UNHCR, Winrock International, Women for Women International, World Food Program USA (WFP USA), World Rehabilitation Fund",
2,ALB,Albania,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, AmeriCares, Bethany Christian Service International, Catholic Relief Services, Global Health Council, GlobalGiving, Handicap International USA, Heifer International, International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Orthodox Christian Charities (IOCC), International Youth Foundation, Islamic Relief USA, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Mercy USA for Aid and Development, PATH, Project C.U.R.E, ProLiteracy Worldwide, Stop Hunger Now, World Learning, World Vision",
3,DZA,Algeria,"Giving Children Hope, Handicap International USA, International Center for Not-for-Profit Law, Lions Club International Foundation, Solidarity Center, Stop Hunger Now, World Food Program USA (WFP USA), World Learning",
5,AGO,Angola,"ACDI/VOCA, Adventist Development and Relief Agency International, African Medical & Research Foundation, Africare, AmeriCares, America's Development Foundation, Baptist World Alliance, CARE, Catholic Relief Services, CBM, ChildFund International, Christian Blind Mission (CBM), CONCERN Worldwide, Episcopal Relief & Development, Global Health Council, GlobalGiving, Handicap International USA, IntraHealth International Inc., Jesuit Refugee Service, Jhpiego, Lions Club International Foundation, Management Sciences for Health (MSH), Medical Care Development, National Cooperative Business Association (NCBA), Pathfinder International, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Stop Hunger Now, Winrock International, World Learning, World Vision",
192,AIA,Anguilla,Lions Club International Foundation,
6,ATG,Antigua and Barbuda,"American Red Cross International Services, Americas ReliefTeam, Baptist World Alliance, Brother's Brother Foundation, Food for the Poor (FFP), Global Health Council, Heart to Heart International, International Youth Foundation, Lions Club International Foundation, Perkins International",
7,ARG,Argentina,"Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, AmeriCares, Baptist World Alliance, Brother's Brother Foundation, Church World Service, Family Care International, Global Health Council, GlobalGiving, Habitat for Humanity International, Hebrew Immigrant Aid Society, Heifer International, International Center for Not-for-Profit Law, International Youth Foundation, Lions Club International Foundation, Pan American Health and Education Foundation (PAHEF), PATH, Perkins International, Project C.U.R.E, ProLiteracy Worldwide, Save the Children, Society for International Development (SID), Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), Unitarian Universalist Service Committee, World Learning",
8,ARM,Armenia,"ACDI/VOCA, Action Against Hunger | ACF International, Adventist Development and Relief Agency International, American Jewish Joint Distribution Committee, American Red Cross International Services, AmeriCares, Baptist World Alliance, CARE, Counterpart International, Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Heifer International, Information Management and Mine Action Programs (IMMAP), International Center for Not-for-Profit Law, International Foundation for Electoral Systems (IFES), International Relief & Development, Lions Club International Foundation, Management Sciences for Health (MSH), PATH, Perkins International, Project C.U.R.E, Save the Children, United Methodist Committee on Relief, World Food Program USA (WFP USA), World Vision",
9,AUS,Australia,"Adventist Development and Relief Agency International, Baptist World Alliance, B'nai B'rith International, Development Gateway, Easter Seals, Giving Children Hope, Global Health Council, GlobalGiving, Habitat for Humanity International, Humane Society International (HSI), International Social Service - United States of America Branch Inc., International Youth Foundation, Jesuit Refugee Service, Lions Club International Foundation, PATH, Save the Children, Society for International Development (SID), Taiwan Buddhist Tzu Chi Foundation, The Global FoodBanking Network (GFN), The Hunger Project, United Cerebral Palsy (UCP), World Society for the Protection of Animals",
10,AUT,Austria,"Adventist Development and Relief Agency International, Baptist World Alliance, Hebrew Immigrant Aid Society, Lions Club International Foundation, Society for International Development (SID), Taiwan Buddhist Tzu Chi Foundation, World Vision",
