MEMBER ORG,WEBSITE
ACDI/VOCA,http://www.acdivoca.org/
Action Against Hunger | ACF International,http://actionagainsthunger.org/
ActionAid International USA,http://actionaidusa.org/
Adeso,http://adesoafrica.org/
Adventist Development and Relief Agency International,http://www.adra.org/
African Medical & Research Foundation,http://www.amrefusa.org/
African Methodist Episcopal Service and Development Agency,http://ame-sada.org/
Africare,http://africare.org/
Aga Khan Foundation USA,http://akdn.org/
Air Serv International,http://airserv.org/
All Hands Volunteers,http://www.hands.org/
Alliance for Peacebuilding,http://www.allianceforpeacebuilding.org/
Alliance to End Hunger,http://www.alliancetoendhunger.org/
American Friends Service Committee,http://afsc.org/
American Jewish Joint Distribution Committee,http://jdc.org/
American Jewish World Service,http://ajws.org/
American Near East Refugee Aid,http://anera.org/
American Red Cross International Services,http://redcross.org/
American Refugee Committee,http://arcrelief.org/
AmeriCares,http://americares.org/
America's Development Foundation,http://www.adfusa.org/
Americas ReliefTeam,http://americasrelief.org/
Amigos de las Americas,http://www.amigoslink.org/
Ananda Marga Universal Relief Team,http://www.amurt.net/
Baptist World Alliance,http://bwanet.org/bwaid
Basic Education Coalition,http://www.basiced.org/
Bethany Christian Service International,http://www.bethany.org/
Bethesda Lutheran Communities,http://bethesdalutherancommunities.org/
BRAC USA,http://brac.net/
Bread for the World,http://bread.org/
Bread for the World Institute,http://www.bread.org/institute/
Brother's Brother Foundation,http://brothersbrother.org/
Campaign for Innocent Victims in Conflict,http://civicworldwide.org/
CARE,http://care.org/
Catholic Relief Services,http://crs.org/
CBM,http://cbmus.org/
CDA Collaborative Learning Projects,http://www.cdainc.com/cdawww/default.php
Center for Health & Gender Equity,http://genderhealth.org/
Centre for Development and Population Activities,http://cedpa.org/
CHF International,http://chfinternational.org/
ChildFund International,http://www.childfund.org/
Christian Reformed World Relief Committee,http://crwrc.org/
Church World Service,http://churchworldservice.org/
Concern America,http://concernamerica.org/
CONCERN Worldwide,http://concernusa.org/
Congressional Hunger Center,http://hungercenter.org/
Counterpart International,http://counterpart.org/
Creative Learning,http://www.creativelearning.org/
Development Gateway,http://www.developmentgateway.org/
Direct Relief International,http://directrelief.org/
Disability Rights Education and Defense Fund (DREDF),http://www.dredf.org/
Easter Seals,http://www.easterseals.com/
Education Development Center (EDC),http://www.edc.org/
Episcopal Relief & Development,http://er-d.org/
Ethiopian Community Development Council,http://ecdcinternational.org/
Family Care International,http://familycareintl.org/
Food for the Poor (FFP),http://www.foodforthepoor.com/
Freedom from Hunger,http://www.freedomfromhunger.org/
Friends of ACTED,http://www.acted.org/
Friends of the Global Fight,http://www.theglobalfight.org/
Giving Children Hope,http://gchope.org/
Global Fund for Children,http://www.globalfundforchildren.org/
Global Health Council,http://globalhealth.org/
Global Links,http://globallinks.org/
Global Resource Services,http://grsworld.org/
Global Washington,http://www.globalwa.org/
GlobalGiving,http://www.globalgiving.org/
Good360,http://www.good360.org/
Habitat for Humanity International,http://habitat.org/
Handicap International USA,http://handicap-international.us/
Heart to Heart International,http://hearttoheart.org/
Heartland Alliance,http://heartlandalliance.org/
Hebrew Immigrant Aid Society,http://hias.org/
Heifer International,http://www.heifer.org/
Helen Keller International,http://hki.org/
HelpAge USA,http://www.helpageusa.org/
Helping Hand for Relief and Development,http://www.hhrd.org/
Holt International Children's Services,http://holtinternational.org/
Humane Society International (HSI),http://www.hsus.org/
IMA World Health,http://www.imaworldhealth.org/
Information Management and Mine Action Programs (IMMAP),http://immap.org/
INMED Partnerships for Children,http://inmed.org/
InsideNGO,http://insidengo.org/
Institute for Sustainable Communities,http://iscvt.org/
International Catholic Migration Commission (ICMC),http://icmc.net/
International Center for Not-for-Profit Law,http://www.icnl.org/
International Center for Research on Women (ICRW),http://icrw.org/
International Emergency and Development Aid (IEDA Relief),http://iedarelief.org/
International Foundation for Electoral Systems (IFES),http://ifes.org/
International Fund for Animal Welfare,http://ifaw.org/
International Housing Coalition (IHC),http://intlhc.org/
International Medical Corps,http://internationalmedicalcorps.org/
International Medical Health Organization (IMHO),http://theimho.org/
International Orthodox Christian Charities (IOCC),http://iocc.org/
International Relief & Development,http://www.ird-dc.org/
International Relief Teams,http://irteams.org/
International Rescue Committee (IRC),http://www.rescue.org/
International Social Service - United States of America Branch Inc.,http://iss-usa.org/
International Youth Foundation,http://iyfnet.org/
IntraHealth International Inc.,http://www.intrahealth.org/
Islamic Relief USA,http://www.irusa.org/
Jesuit Refugee Service,http://jrsusa.org/
Jhpiego,http://www.jhpiego.org/
Joint Council on International Children’s Services,http://www.jointcouncil.org/
Keystone Human Services International,http://keystonehumanservices.org/
Korean American Sharing Movement,http://kasm.org/
Latter-day Saint Charities,http://ldscharities.org/
Life for Relief and Development,http://lifeusa.org/
Lions Club International Foundation,http://www.lcif.org/
Lutheran World Relief (LWR),http://lwr.org/
Management Sciences for Health (MSH),http://www.msh.org/
MAP International,http://www.map.org/
Medical Care Development,http://mcd.org/
Medical Emergency Relief International (Merlin),http://www.merlin-usa.org/
Medical Teams International,http://medicalteams.org/
Medshare,http://www.medshare.org/
Mercy Corps,http://mercycorps.org/
Mercy USA for Aid and Development,http://mercyusa.org/
Millennium Water Alliance,http://mwawater.org/
Mobility International USA,http://miusa.org/
National Association of Social Workers,http://socialworkers.org/
National Cooperative Business Association (NCBA),http://www.ncba.coop/
ONE Campaign,http://one.org/
One Economy Corporation,http://www.one-economy.com/
Operation Blessing International Relief and Development Corporation,http://www.operationblessing.org/
Operation USA,http://opusa.org/
Outreach International,http://www.outreach-international.org/
Oxfam America,http://www.oxfamamerica.org/
Pact,http://pactworld.org/
Pan American Development Foundation,http://www.padf.org/
Pan American Health and Education Foundation (PAHEF),http://www.pahef.org/
PATH,http://path.org/
Pathfinder International,http://www.pathfind.org/
PCI,http://www.projectconcern.org/
Perkins International,http://perkins.org/
Physicians for Peace,http://physiciansforpeace.org/
Plan,http://www.planusa.org/
Planet Aid,http://www.planetaid.org/
Plant with Purpose,http://www.plantwithpurpose.org/
Population Action International,http://populationaction.org/
Population Communication,http://novacancythemovie.com/
Presbyterian Disaster Assistance,http://pcusa.org/
Project C.U.R.E,http://www.projectcure.org/
ProLiteracy Worldwide,http://proliteracy.org/
Refugees International,http://refugeesinternational.org/
Relief International,http://ri.org/
Religions for Peace,http://www.religionsforpeace.org/
Resolve Uganda,http://resolveuganda.org/
RESULTS,http://results.org/
ReSurge International,http://www.resurge.org/home/home.cfm
Salvation Army World Services,http://sawso.org/
Save the Children,http://savethechildren.org/
Seva Foundation,http://seva.org/
Society for International Development (SID),http://sidw.org/
Solar Cookers International,http://solarcookers.org/
Solidarity Center,http://www.solidaritycenter.org/
Stop Hunger Now,http://stophungernow.org/
Taiwan Buddhist Tzu Chi Foundation,http://www.us.tzuchi.org/us/en/
The Eagles' Wings Foundation,http://www.theeagleswingsfoundation.org/
The Global FoodBanking Network (GFN),http://www.foodbanking.org/
The Hunger Project,http://www.thp.org/
Transparency International USA,http://transparency-usa.org/
Trickle Up Program,http://trickleup.org/
U.S. Climate Action Network (USCAN),http://www.usclimatenetwork.org/
U.S. Committee for Refugees & Immigrants,http://www.refugees.org/
U.S. Fund for UNICEF,http://www.unicefusa.org/
Unitarian Universalist Service Committee,http://www.uusc.org/
United Cerebral Palsy (UCP),http://www.ucp.org/
United Methodist Committee on Relief,http://www.umcor.org/
United Nations Foundation,http://www.unfoundation.org/
United States International Council on Disabilities (USICD),http://www.usicd.org/
USA for UNHCR,http://www.unrefugees.org/site/c.lfIQKSOwFqG/b.4778881/k.A2F8/UN_Refugee_Agency.htm
Volunteers Association of Bangladesh (VAB),http://vabonline.org/
Water Aid America,http://wateraidamerica.org/
Water for South Sudan,http://www.waterforsudan.org/
WellShare International,http://www.wellshareinternational.org/
Winrock International,http://winrock.org/
Women for Women International,http://womenforwomen.org/
Women Thrive Worldwide,http://womenthrive.org/
World Concern,http://worldconcern.org/
World Connect,http://www.worldconnect-us.org/
World Food Program USA (WFP USA),http://www.wfpusa.org/
World Learning,http://worldlearning.org/
World Neighbors,http://wn.org/
World Rehabilitation Fund,http://worldrehabfund.org/
World Relief,http://wr.org/
World Society for the Protection of Animals,http://www.wspa-usa.org/
World Vision,http://worldvision.org/
World Wildlife Fund (WWF),http://wwfus.org/
Zakat Foundation of America,http://www.zakat.org/
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
World Wildlife Fund (WWF),
World Wildlife Fund (WWF),
