country,total,organizations
Afghanistan,64,"<ul>
  
  <li><a href='http://google.com/?q=ACDI%2FVOCA&output=search'>ACDI/VOCA</a></li>
  
  <li><a href='http://google.com/?q=Action%20Against%20Hunger%20%7C%20ACF%20International&output=search'>Action Against Hunger | ACF International</a></li>
  
  <li><a href='http://google.com/?q=ActionAid%20International%20USA&output=search'>ActionAid International USA</a></li>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=Aga%20Khan%20Foundation%20USA&output=search'>Aga Khan Foundation USA</a></li>
  
  <li><a href='http://google.com/?q=Air%20Serv%20International&output=search'>Air Serv International</a></li>
  
  <li><a href='http://google.com/?q=AmeriCares&output=search'>AmeriCares</a></li>
  
  <li><a href='http://google.com/?q=America's%20Development%20Foundation&output=search'>America's Development Foundation</a></li>
  
  <li><a href='http://google.com/?q=American%20Jewish%20World%20Service&output=search'>American Jewish World Service</a></li>
  
  <li><a href='http://google.com/?q=BRAC%20USA&output=search'>BRAC USA</a></li>
  
  <li><a href='http://google.com/?q=Brother's%20Brother%20Foundation&output=search'>Brother's Brother Foundation</a></li>
  
  <li><a href='http://google.com/?q=CARE&output=search'>CARE</a></li>
  
  <li><a href='http://google.com/?q=CBM&output=search'>CBM</a></li>
  
  <li><a href='http://google.com/?q=CHF%20International&output=search'>CHF International</a></li>
  
  <li><a href='http://google.com/?q=CONCERN%20Worldwide&output=search'>CONCERN Worldwide</a></li>
  
  <li><a href='http://google.com/?q=Campaign%20for%20Innocent%20Victims%20in%20Conflict&output=search'>Campaign for Innocent Victims in Conflict</a></li>
  
  <li><a href='http://google.com/?q=Catholic%20Relief%20Services&output=search'>Catholic Relief Services</a></li>
  
  <li><a href='http://google.com/?q=ChildFund%20International&output=search'>ChildFund International</a></li>
  
  <li><a href='http://google.com/?q=Christian%20Reformed%20World%20Relief%20Committee&output=search'>Christian Reformed World Relief Committee</a></li>
  
  <li><a href='http://google.com/?q=Church%20World%20Service&output=search'>Church World Service</a></li>
  
  <li><a href='http://google.com/?q=Counterpart%20International&output=search'>Counterpart International</a></li>
  
  <li><a href='http://google.com/?q=Direct%20Relief%20International&output=search'>Direct Relief International</a></li>
  
  <li><a href='http://google.com/?q=Education%20Development%20Center%20(EDC)&output=search'>Education Development Center (EDC)</a></li>
  
  <li><a href='http://google.com/?q=Episcopal%20Relief%20%26%20Development&output=search'>Episcopal Relief & Development</a></li>
  
  <li><a href='http://google.com/?q=Friends%20of%20ACTED&output=search'>Friends of ACTED</a></li>
  
  <li><a href='http://google.com/?q=Giving%20Children%20Hope&output=search'>Giving Children Hope</a></li>
  
  <li><a href='http://google.com/?q=Global%20Fund%20for%20Children&output=search'>Global Fund for Children</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=GlobalGiving&output=search'>GlobalGiving</a></li>
  
  <li><a href='http://google.com/?q=Habitat%20for%20Humanity%20International&output=search'>Habitat for Humanity International</a></li>
  
  <li><a href='http://google.com/?q=Handicap%20International%20USA&output=search'>Handicap International USA</a></li>
  
  <li><a href='http://google.com/?q=Heart%20to%20Heart%20International&output=search'>Heart to Heart International</a></li>
  
  <li><a href='http://google.com/?q=Heartland%20Alliance&output=search'>Heartland Alliance</a></li>
  
  <li><a href='http://google.com/?q=Helping%20Hand%20for%20Relief%20and%20Development&output=search'>Helping Hand for Relief and Development</a></li>
  
  <li><a href='http://google.com/?q=Information%20Management%20and%20Mine%20Action%20Programs%20(IMMAP)&output=search'>Information Management and Mine Action Programs (IMMAP)</a></li>
  
  <li><a href='http://google.com/?q=International%20Center%20for%20Not-for-Profit%20Law&output=search'>International Center for Not-for-Profit Law</a></li>
  
  <li><a href='http://google.com/?q=International%20Foundation%20for%20Electoral%20Systems%20(IFES)&output=search'>International Foundation for Electoral Systems (IFES)</a></li>
  
  <li><a href='http://google.com/?q=International%20Medical%20Corps&output=search'>International Medical Corps</a></li>
  
  <li><a href='http://google.com/?q=International%20Relief%20%26%20Development&output=search'>International Relief & Development</a></li>
  
  <li><a href='http://google.com/?q=International%20Rescue%20Committee%20(IRC)&output=search'>International Rescue Committee (IRC)</a></li>
  
  <li><a href='http://google.com/?q=Islamic%20Relief%20USA&output=search'>Islamic Relief USA</a></li>
  
  <li><a href='http://google.com/?q=Jesuit%20Refugee%20Service&output=search'>Jesuit Refugee Service</a></li>
  
  <li><a href='http://google.com/?q=Jhpiego&output=search'>Jhpiego</a></li>
  
  <li><a href='http://google.com/?q=Life%20for%20Relief%20and%20Development&output=search'>Life for Relief and Development</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Management%20Sciences%20for%20Health%20(MSH)&output=search'>Management Sciences for Health (MSH)</a></li>
  
  <li><a href='http://google.com/?q=Medical%20Emergency%20Relief%20International%20(Merlin)&output=search'>Medical Emergency Relief International (Merlin)</a></li>
  
  <li><a href='http://google.com/?q=Medical%20Teams%20International&output=search'>Medical Teams International</a></li>
  
  <li><a href='http://google.com/?q=Mercy%20Corps&output=search'>Mercy Corps</a></li>
  
  <li><a href='http://google.com/?q=Operation%20Blessing%20International%20Relief%20and%20Development%20Corporation&output=search'>Operation Blessing International Relief and Development Corporation</a></li>
  
  <li><a href='http://google.com/?q=Physicians%20for%20Human%20Rights&output=search'>Physicians for Human Rights</a></li>
  
  <li><a href='http://google.com/?q=ProLiteracy%20Worldwide&output=search'>ProLiteracy Worldwide</a></li>
  
  <li><a href='http://google.com/?q=Project%20C.U.R.E&output=search'>Project C.U.R.E</a></li>
  
  <li><a href='http://google.com/?q=Refugees%20International&output=search'>Refugees International</a></li>
  
  <li><a href='http://google.com/?q=Relief%20International&output=search'>Relief International</a></li>
  
  <li><a href='http://google.com/?q=Save%20the%20Children&output=search'>Save the Children</a></li>
  
  <li><a href='http://google.com/?q=Stop%20Hunger%20Now&output=search'>Stop Hunger Now</a></li>
  
  <li><a href='http://google.com/?q=Taiwan%20Buddhist%20Tzu%20Chi%20Foundation&output=search'>Taiwan Buddhist Tzu Chi Foundation</a></li>
  
  <li><a href='http://google.com/?q=USA%20for%20UNHCR&output=search'>USA for UNHCR</a></li>
  
  <li><a href='http://google.com/?q=Unitarian%20Universalist%20Service%20Committee&output=search'>Unitarian Universalist Service Committee</a></li>
  
  <li><a href='http://google.com/?q=United%20Methodist%20Committee%20on%20Relief&output=search'>United Methodist Committee on Relief</a></li>
  
  <li><a href='http://google.com/?q=Winrock%20International&output=search'>Winrock International</a></li>
  
  <li><a href='http://google.com/?q=Women%20for%20Women%20International&output=search'>Women for Women International</a></li>
  
  <li><a href='http://google.com/?q=World%20Rehabilitation%20Fund&output=search'>World Rehabilitation Fund</a></li>
  
</ul>
"
Angola,29,"<ul>
  
  <li><a href='http://google.com/?q=ACDI%2FVOCA&output=search'>ACDI/VOCA</a></li>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=African%20Medical%20%26%20Research%20Foundation&output=search'>African Medical & Research Foundation</a></li>
  
  <li><a href='http://google.com/?q=Africare&output=search'>Africare</a></li>
  
  <li><a href='http://google.com/?q=AmeriCares&output=search'>AmeriCares</a></li>
  
  <li><a href='http://google.com/?q=America's%20Development%20Foundation&output=search'>America's Development Foundation</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=CARE&output=search'>CARE</a></li>
  
  <li><a href='http://google.com/?q=CBM&output=search'>CBM</a></li>
  
  <li><a href='http://google.com/?q=CONCERN%20Worldwide&output=search'>CONCERN Worldwide</a></li>
  
  <li><a href='http://google.com/?q=Catholic%20Relief%20Services&output=search'>Catholic Relief Services</a></li>
  
  <li><a href='http://google.com/?q=ChildFund%20International&output=search'>ChildFund International</a></li>
  
  <li><a href='http://google.com/?q=Christian%20Blind%20Mission%20(CBM)&output=search'>Christian Blind Mission (CBM)</a></li>
  
  <li><a href='http://google.com/?q=Episcopal%20Relief%20%26%20Development&output=search'>Episcopal Relief & Development</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=Handicap%20International%20USA&output=search'>Handicap International USA</a></li>
  
  <li><a href='http://google.com/?q=Jesuit%20Refugee%20Service&output=search'>Jesuit Refugee Service</a></li>
  
  <li><a href='http://google.com/?q=Jhpiego&output=search'>Jhpiego</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Management%20Sciences%20for%20Health%20(MSH)&output=search'>Management Sciences for Health (MSH)</a></li>
  
  <li><a href='http://google.com/?q=Medical%20Care%20Development&output=search'>Medical Care Development</a></li>
  
  <li><a href='http://google.com/?q=Pathfinder%20International&output=search'>Pathfinder International</a></li>
  
  <li><a href='http://google.com/?q=ProLiteracy%20Worldwide&output=search'>ProLiteracy Worldwide</a></li>
  
  <li><a href='http://google.com/?q=Project%20C.U.R.E&output=search'>Project C.U.R.E</a></li>
  
  <li><a href='http://google.com/?q=Save%20the%20Children&output=search'>Save the Children</a></li>
  
  <li><a href='http://google.com/?q=Stop%20Hunger%20Now&output=search'>Stop Hunger Now</a></li>
  
  <li><a href='http://google.com/?q=Winrock%20International&output=search'>Winrock International</a></li>
  
  <li><a href='http://google.com/?q=World%20Learning&output=search'>World Learning</a></li>
  
  <li><a href='http://google.com/?q=World%20Vision&output=search'>World Vision</a></li>
  
</ul>
"
Armenia,28,"<ul>
  
  <li><a href='http://google.com/?q=ACDI%2FVOCA&output=search'>ACDI/VOCA</a></li>
  
  <li><a href='http://google.com/?q=Action%20Against%20Hunger%20%7C%20ACF%20International&output=search'>Action Against Hunger | ACF International</a></li>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=AmeriCares&output=search'>AmeriCares</a></li>
  
  <li><a href='http://google.com/?q=American%20Jewish%20Joint%20Distribution%20Committee&output=search'>American Jewish Joint Distribution Committee</a></li>
  
  <li><a href='http://google.com/?q=American%20Red%20Cross%20International%20Services&output=search'>American Red Cross International Services</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=CARE&output=search'>CARE</a></li>
  
  <li><a href='http://google.com/?q=CHF%20International&output=search'>CHF International</a></li>
  
  <li><a href='http://google.com/?q=Counterpart%20International&output=search'>Counterpart International</a></li>
  
  <li><a href='http://google.com/?q=Giving%20Children%20Hope&output=search'>Giving Children Hope</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=GlobalGiving&output=search'>GlobalGiving</a></li>
  
  <li><a href='http://google.com/?q=Habitat%20for%20Humanity%20International&output=search'>Habitat for Humanity International</a></li>
  
  <li><a href='http://google.com/?q=Heifer%20International&output=search'>Heifer International</a></li>
  
  <li><a href='http://google.com/?q=Information%20Management%20and%20Mine%20Action%20Programs%20(IMMAP)&output=search'>Information Management and Mine Action Programs (IMMAP)</a></li>
  
  <li><a href='http://google.com/?q=International%20Center%20for%20Not-for-Profit%20Law&output=search'>International Center for Not-for-Profit Law</a></li>
  
  <li><a href='http://google.com/?q=International%20Foundation%20for%20Electoral%20Systems%20(IFES)&output=search'>International Foundation for Electoral Systems (IFES)</a></li>
  
  <li><a href='http://google.com/?q=International%20Relief%20%26%20Development&output=search'>International Relief & Development</a></li>
  
  <li><a href='http://google.com/?q=IntraHealth%20International%20Inc.&output=search'>IntraHealth International Inc.</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Management%20Sciences%20for%20Health%20(MSH)&output=search'>Management Sciences for Health (MSH)</a></li>
  
  <li><a href='http://google.com/?q=PATH&output=search'>PATH</a></li>
  
  <li><a href='http://google.com/?q=Perkins%20International&output=search'>Perkins International</a></li>
  
  <li><a href='http://google.com/?q=Project%20C.U.R.E&output=search'>Project C.U.R.E</a></li>
  
  <li><a href='http://google.com/?q=Save%20the%20Children&output=search'>Save the Children</a></li>
  
  <li><a href='http://google.com/?q=United%20Methodist%20Committee%20on%20Relief&output=search'>United Methodist Committee on Relief</a></li>
  
  <li><a href='http://google.com/?q=World%20Vision&output=search'>World Vision</a></li>
  
</ul>
"
Bahamas,9,"<ul>
  
  <li><a href='http://google.com/?q=American%20Red%20Cross%20International%20Services&output=search'>American Red Cross International Services</a></li>
  
  <li><a href='http://google.com/?q=Americas%20ReliefTeam&output=search'>Americas ReliefTeam</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=Brother's%20Brother%20Foundation&output=search'>Brother's Brother Foundation</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=PCI-Media%20Impact&output=search'>PCI-Media Impact</a></li>
  
  <li><a href='http://google.com/?q=The%20Eagles'%20Wings%20Foundation&output=search'>The Eagles' Wings Foundation</a></li>
  
  <li><a href='http://google.com/?q=World%20Learning&output=search'>World Learning</a></li>
  
</ul>
"
Bahrain,4,"<ul>
  
  <li><a href='http://google.com/?q=International%20Center%20for%20Not-for-Profit%20Law&output=search'>International Center for Not-for-Profit Law</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Mobility%20International%20USA&output=search'>Mobility International USA</a></li>
  
  <li><a href='http://google.com/?q=Solidarity%20Center&output=search'>Solidarity Center</a></li>
  
</ul>
"
Bangladesh,58,"<ul>
  
  <li><a href='http://google.com/?q=ACDI%2FVOCA&output=search'>ACDI/VOCA</a></li>
  
  <li><a href='http://google.com/?q=Action%20Against%20Hunger%20%7C%20ACF%20International&output=search'>Action Against Hunger | ACF International</a></li>
  
  <li><a href='http://google.com/?q=ActionAid%20International%20USA&output=search'>ActionAid International USA</a></li>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=Aga%20Khan%20Foundation%20USA&output=search'>Aga Khan Foundation USA</a></li>
  
  <li><a href='http://google.com/?q=AmeriCares&output=search'>AmeriCares</a></li>
  
  <li><a href='http://google.com/?q=American%20Red%20Cross%20International%20Services&output=search'>American Red Cross International Services</a></li>
  
  <li><a href='http://google.com/?q=BRAC%20USA&output=search'>BRAC USA</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=Brother's%20Brother%20Foundation&output=search'>Brother's Brother Foundation</a></li>
  
  <li><a href='http://google.com/?q=CARE&output=search'>CARE</a></li>
  
  <li><a href='http://google.com/?q=CBM&output=search'>CBM</a></li>
  
  <li><a href='http://google.com/?q=CONCERN%20Worldwide&output=search'>CONCERN Worldwide</a></li>
  
  <li><a href='http://google.com/?q=Catholic%20Relief%20Services&output=search'>Catholic Relief Services</a></li>
  
  <li><a href='http://google.com/?q=Christian%20Reformed%20World%20Relief%20Committee&output=search'>Christian Reformed World Relief Committee</a></li>
  
  <li><a href='http://google.com/?q=Congressional%20Hunger%20Center&output=search'>Congressional Hunger Center</a></li>
  
  <li><a href='http://google.com/?q=Direct%20Relief%20International&output=search'>Direct Relief International</a></li>
  
  <li><a href='http://google.com/?q=Episcopal%20Relief%20%26%20Development&output=search'>Episcopal Relief & Development</a></li>
  
  <li><a href='http://google.com/?q=Global%20Fund%20for%20Children&output=search'>Global Fund for Children</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=GlobalGiving&output=search'>GlobalGiving</a></li>
  
  <li><a href='http://google.com/?q=Habitat%20for%20Humanity%20International&output=search'>Habitat for Humanity International</a></li>
  
  <li><a href='http://google.com/?q=Handicap%20International%20USA&output=search'>Handicap International USA</a></li>
  
  <li><a href='http://google.com/?q=Helen%20Keller%20International&output=search'>Helen Keller International</a></li>
  
  <li><a href='http://google.com/?q=HelpAge%20USA&output=search'>HelpAge USA</a></li>
  
  <li><a href='http://google.com/?q=Helping%20Hand%20for%20Relief%20and%20Development&output=search'>Helping Hand for Relief and Development</a></li>
  
  <li><a href='http://google.com/?q=International%20Medical%20Health%20Organization%20(IMHO)&output=search'>International Medical Health Organization (IMHO)</a></li>
  
  <li><a href='http://google.com/?q=International%20Rescue%20Committee%20(IRC)&output=search'>International Rescue Committee (IRC)</a></li>
  
  <li><a href='http://google.com/?q=IntraHealth%20International%20Inc.&output=search'>IntraHealth International Inc.</a></li>
  
  <li><a href='http://google.com/?q=Islamic%20Relief%20USA&output=search'>Islamic Relief USA</a></li>
  
  <li><a href='http://google.com/?q=Jhpiego&output=search'>Jhpiego</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Management%20Sciences%20for%20Health%20(MSH)&output=search'>Management Sciences for Health (MSH)</a></li>
  
  <li><a href='http://google.com/?q=Mercy%20USA%20for%20Aid%20and%20Development&output=search'>Mercy USA for Aid and Development</a></li>
  
  <li><a href='http://google.com/?q=PATH&output=search'>PATH</a></li>
  
  <li><a href='http://google.com/?q=PCI%20(Project%20Concern%20International)&output=search'>PCI (Project Concern International)</a></li>
  
  <li><a href='http://google.com/?q=Pathfinder%20International&output=search'>Pathfinder International</a></li>
  
  <li><a href='http://google.com/?q=Perkins%20International&output=search'>Perkins International</a></li>
  
  <li><a href='http://google.com/?q=Physicians%20for%20Peace&output=search'>Physicians for Peace</a></li>
  
  <li><a href='http://google.com/?q=Plan&output=search'>Plan</a></li>
  
  <li><a href='http://google.com/?q=ProLiteracy%20Worldwide&output=search'>ProLiteracy Worldwide</a></li>
  
  <li><a href='http://google.com/?q=Project%20C.U.R.E&output=search'>Project C.U.R.E</a></li>
  
  <li><a href='http://google.com/?q=ReSurge%20International&output=search'>ReSurge International</a></li>
  
  <li><a href='http://google.com/?q=Refugees%20International&output=search'>Refugees International</a></li>
  
  <li><a href='http://google.com/?q=Relief%20International&output=search'>Relief International</a></li>
  
  <li><a href='http://google.com/?q=Save%20the%20Children&output=search'>Save the Children</a></li>
  
  <li><a href='http://google.com/?q=Seva%20Foundation&output=search'>Seva Foundation</a></li>
  
  <li><a href='http://google.com/?q=Solidarity%20Center&output=search'>Solidarity Center</a></li>
  
  <li><a href='http://google.com/?q=Taiwan%20Buddhist%20Tzu%20Chi%20Foundation&output=search'>Taiwan Buddhist Tzu Chi Foundation</a></li>
  
  <li><a href='http://google.com/?q=The%20Hunger%20Project&output=search'>The Hunger Project</a></li>
  
  <li><a href='http://google.com/?q=U.S.%20Committee%20for%20Refugees%20%26%20Immigrants&output=search'>U.S. Committee for Refugees & Immigrants</a></li>
  
  <li><a href='http://google.com/?q=United%20Nations%20Foundation&output=search'>United Nations Foundation</a></li>
  
  <li><a href='http://google.com/?q=Volunteers%20Association%20of%20Bangladesh%20(VAB)&output=search'>Volunteers Association of Bangladesh (VAB)</a></li>
  
  <li><a href='http://google.com/?q=Water%20Aid%20America&output=search'>Water Aid America</a></li>
  
  <li><a href='http://google.com/?q=Winrock%20International&output=search'>Winrock International</a></li>
  
  <li><a href='http://google.com/?q=World%20Concern&output=search'>World Concern</a></li>
  
  <li><a href='http://google.com/?q=World%20Hope%20International&output=search'>World Hope International</a></li>
  
  <li><a href='http://google.com/?q=World%20Vision&output=search'>World Vision</a></li>
  
</ul>
"
Austria,7,"<ul>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=Hebrew%20Immigrant%20Aid%20Society&output=search'>Hebrew Immigrant Aid Society</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Society%20for%20International%20Development%20(SID)&output=search'>Society for International Development (SID)</a></li>
  
  <li><a href='http://google.com/?q=Taiwan%20Buddhist%20Tzu%20Chi%20Foundation&output=search'>Taiwan Buddhist Tzu Chi Foundation</a></li>
  
  <li><a href='http://google.com/?q=World%20Vision&output=search'>World Vision</a></li>
  
</ul>
"
Barbados,6,"<ul>
  
  <li><a href='http://google.com/?q=Americas%20ReliefTeam&output=search'>Americas ReliefTeam</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=Education%20Development%20Center%20(EDC)&output=search'>Education Development Center (EDC)</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=Jhpiego&output=search'>Jhpiego</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
</ul>
"
Belarus,14,"<ul>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=American%20Jewish%20Joint%20Distribution%20Committee&output=search'>American Jewish Joint Distribution Committee</a></li>
  
  <li><a href='http://google.com/?q=American%20Red%20Cross%20International%20Services&output=search'>American Red Cross International Services</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=ChildFund%20International&output=search'>ChildFund International</a></li>
  
  <li><a href='http://google.com/?q=Counterpart%20International&output=search'>Counterpart International</a></li>
  
  <li><a href='http://google.com/?q=GlobalGiving&output=search'>GlobalGiving</a></li>
  
  <li><a href='http://google.com/?q=International%20Center%20for%20Not-for-Profit%20Law&output=search'>International Center for Not-for-Profit Law</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=Management%20Sciences%20for%20Health%20(MSH)&output=search'>Management Sciences for Health (MSH)</a></li>
  
  <li><a href='http://google.com/?q=PATH&output=search'>PATH</a></li>
  
  <li><a href='http://google.com/?q=Pact&output=search'>Pact</a></li>
  
  <li><a href='http://google.com/?q=Project%20C.U.R.E&output=search'>Project C.U.R.E</a></li>
  
  <li><a href='http://google.com/?q=Solidarity%20Center&output=search'>Solidarity Center</a></li>
  
</ul>
"
Belgium,13,"<ul>
  
  <li><a href='http://google.com/?q=ActionAid%20International%20USA&output=search'>ActionAid International USA</a></li>
  
  <li><a href='http://google.com/?q=Adventist%20Development%20and%20Relief%20Agency%20International&output=search'>Adventist Development and Relief Agency International</a></li>
  
  <li><a href='http://google.com/?q=B'nai%20B'rith%20International&output=search'>B'nai B'rith International</a></li>
  
  <li><a href='http://google.com/?q=Baptist%20World%20Alliance&output=search'>Baptist World Alliance</a></li>
  
  <li><a href='http://google.com/?q=Global%20Health%20Council&output=search'>Global Health Council</a></li>
  
  <li><a href='http://google.com/?q=International%20Catholic%20Migration%20Commission%20(ICMC)&output=search'>International Catholic Migration Commission (ICMC)</a></li>
  
  <li><a href='http://google.com/?q=International%20Rescue%20Committee%20(IRC)&output=search'>International Rescue Committee (IRC)</a></li>
  
  <li><a href='http://google.com/?q=International%20Social%20Service%20-%20United%20States%20of%20America%20Branch%20Inc.&output=search'>International Social Service - United States of America Branch Inc.</a></li>
  
  <li><a href='http://google.com/?q=International%20Youth%20Foundation&output=search'>International Youth Foundation</a></li>
  
  <li><a href='http://google.com/?q=Jesuit%20Refugee%20Service&output=search'>Jesuit Refugee Service</a></li>
  
  <li><a href='http://google.com/?q=Lions%20Club%20International%20Foundation&output=search'>Lions Club International Foundation</a></li>
  
  <li><a href='http://google.com/?q=ONE%20Campaign&output=search'>ONE Campaign</a></li>
  
  <li><a href='http://google.com/?q=PATH&output=search'>PATH</a></li>
  
</ul>
"
