Organization,Country
ACDI/VOCA,Afghanistan
ACDI/VOCA,Angola
ACDI/VOCA,Armenia
American Red Cross International Services,Bahamas
Americas ReliefTeam,Bahamas
Baptist World Alliance,Bahamas
Brother's Brother Foundation,Bahamas
Global Health Council,Bahamas
Lions Club International Foundation,Bahamas
PCI-Media Impact,Bahamas
The Eagles' Wings Foundation,Bahamas
World Learning,Bahamas
International Center for Not-for-Profit Law,Bahrain
Lions Club International Foundation,Bahrain
Mobility International USA,Bahrain
Solidarity Center,Bahrain
ACDI/VOCA,Bangladesh
Action Against Hunger | ACF International,Bangladesh
ActionAid International USA,Bangladesh
Adventist Development and Relief Agency International,Bangladesh
Aga Khan Foundation USA,Bangladesh
American Red Cross International Services,Bangladesh
AmeriCares,Bangladesh
Baptist World Alliance,Bangladesh
BRAC USA,Bangladesh
Brother's Brother Foundation,Bangladesh
CARE,Bangladesh
Catholic Relief Services,Bangladesh
CBM,Bangladesh
Christian Reformed World Relief Committee,Bangladesh
CONCERN Worldwide,Bangladesh
Congressional Hunger Center,Bangladesh
Direct Relief International,Bangladesh
Episcopal Relief & Development,Bangladesh
Global Fund for Children,Bangladesh
Action Against Hunger | ACF International,Afghanistan
Action Against Hunger | ACF International,Armenia
Adventist Development and Relief Agency International,Austria
Global Health Council,Bangladesh
GlobalGiving,Bangladesh
Habitat for Humanity International,Bangladesh
Handicap International USA,Bangladesh
Helen Keller International,Bangladesh
HelpAge USA,Bangladesh
Helping Hand for Relief and Development,Bangladesh
International Medical Health Organization (IMHO),Bangladesh
International Rescue Committee (IRC),Bangladesh
IntraHealth International Inc.,Bangladesh
Islamic Relief USA,Bangladesh
Jhpiego,Bangladesh
Lions Club International Foundation,Bangladesh
Management Sciences for Health (MSH),Bangladesh
Mercy USA for Aid and Development,Bangladesh
PATH,Bangladesh
Pathfinder International,Bangladesh
PCI (Project Concern International),Bangladesh
Perkins International,Bangladesh
Physicians for Peace,Bangladesh
Plan,Bangladesh
Project C.U.R.E,Bangladesh
ProLiteracy Worldwide,Bangladesh
Refugees International,Bangladesh
Relief International,Bangladesh
ReSurge International,Bangladesh
Save the Children,Bangladesh
Seva Foundation,Bangladesh
Solidarity Center,Bangladesh
Taiwan Buddhist Tzu Chi Foundation,Bangladesh
The Hunger Project,Bangladesh
U.S. Committee for Refugees & Immigrants,Bangladesh
United Nations Foundation,Bangladesh
Volunteers Association of Bangladesh (VAB),Bangladesh
Water Aid America,Bangladesh
Winrock International,Bangladesh
World Concern,Bangladesh
World Hope International,Bangladesh
World Vision,Bangladesh
Baptist World Alliance,Austria
ActionAid International USA,Afghanistan
Americas ReliefTeam,Barbados
Baptist World Alliance,Barbados
Education Development Center (EDC),Barbados
Global Health Council,Barbados
Jhpiego,Barbados
Lions Club International Foundation,Barbados
Adventist Development and Relief Agency International,Belarus
American Jewish Joint Distribution Committee,Belarus
American Red Cross International Services,Belarus
Baptist World Alliance,Belarus
ChildFund International,Belarus
Counterpart International,Belarus
GlobalGiving,Belarus
International Center for Not-for-Profit Law,Belarus
Lions Club International Foundation,Belarus
Management Sciences for Health (MSH),Belarus
Pact,Belarus
PATH,Belarus
Project C.U.R.E,Belarus
Solidarity Center,Belarus
ActionAid International USA,Belgium
Adventist Development and Relief Agency International,Belgium
Baptist World Alliance,Belgium
B'nai B'rith International,Belgium
Global Health Council,Belgium
International Catholic Migration Commission (ICMC),Belgium
International Rescue Committee (IRC),Belgium
International Social Service - United States of America Branch Inc.,Belgium
International Youth Foundation,Belgium
Jesuit Refugee Service,Belgium
Lions Club International Foundation,Belgium
ONE Campaign,Belgium
PATH,Belgium
AmeriCares,Belize
Americas ReliefTeam,Belize
Baptist World Alliance,Belize
Brother's Brother Foundation,Belize
CBM,Belize
Episcopal Relief & Development,Belize
Food for the Poor (FFP),Belize
GlobalGiving,Belize
Heart to Heart International,Belize
IntraHealth International Inc.,Belize
Lions Club International Foundation,Belize
Management Sciences for Health (MSH),Belize
Planet Aid,Belize
Project C.U.R.E,Belize
Stop Hunger Now,Belize
Winrock International,Belize
World Connect,Belize
World Wildlife Fund (WWF),Belize
African Medical & Research Foundation,Benin
Hebrew Immigrant Aid Society,Austria
Adventist Development and Relief Agency International,Afghanistan
Adventist Development and Relief Agency International,Albania
Adventist Development and Relief Agency International,Angola
Adventist Development and Relief Agency International,Argentina
Adventist Development and Relief Agency International,Armenia
Adventist Development and Relief Agency International,Australia
Lions Club International Foundation,Austria
Society for International Development (SID),Austria
Africare,Benin
Baptist World Alliance,Benin
CARE,Benin
Catholic Relief Services,Benin
Development Gateway,Benin
Education Development Center (EDC),Benin
Freedom from Hunger,Benin
Global Health Council,Benin
GlobalGiving,Benin
Handicap International USA,Benin
Jhpiego,Benin
Lions Club International Foundation,Benin
Management Sciences for Health (MSH),Benin
Medical Care Development,Benin
Plan,Benin
Project C.U.R.E,Benin
The Hunger Project,Benin
Winrock International,Benin
Americas ReliefTeam,Bermuda
Baptist World Alliance,Bermuda
Habitat for Humanity International,Bermuda
AmeriCares,Bhutan
Brother's Brother Foundation,Bhutan
Global Fund for Children,Bhutan
Humane Society International (HSI),Bhutan
Lions Club International Foundation,Bhutan
Management Sciences for Health (MSH),Bhutan
Project C.U.R.E,Bhutan
Save the Children,Bhutan
U.S. Committee for Refugees & Immigrants,Bhutan
World Wildlife Fund (WWF),Bhutan
ACDI/VOCA,Bolivia
Action Against Hunger | ACF International,Bolivia
ActionAid International USA,Bolivia
Adventist Development and Relief Agency International,Bolivia
American Jewish Joint Distribution Committee,Bolivia
American Jewish World Service,Bolivia
American Red Cross International Services,Bolivia
AmeriCares,Bolivia
Baptist World Alliance,Bolivia
Brother's Brother Foundation,Bolivia
CARE,Bolivia
Catholic Relief Services,Bolivia
CBM,Bolivia
ChildFund International,Bolivia
Church World Service,Bolivia
Direct Relief International,Bolivia
Family Care International,Bolivia
Freedom from Hunger,Bolivia
Giving Children Hope,Bolivia
Global Fund for Children,Bolivia
Global Health Council,Bolivia
Global Links,Bolivia
GlobalGiving,Bolivia
Habitat for Humanity International,Bolivia
Handicap International USA,Bolivia
Heifer International,Bolivia
HelpAge USA,Bolivia
Lions Club International Foundation,Bolivia
Lutheran World Relief (LWR),Bolivia
Management Sciences for Health (MSH),Bolivia
MAP International,Bolivia
Outreach International,Bolivia
Oxfam America,Bolivia
Pan American Development Foundation,Bolivia
Pan American Health and Education Foundation (PAHEF),Bolivia
PATH,Bolivia
PCI (Project Concern International),Bolivia
PCI-Media Impact,Bolivia
Perkins International,Bolivia
Physicians for Peace,Bolivia
Plan,Bolivia
Project C.U.R.E,Bolivia
ProLiteracy Worldwide,Bolivia
ReSurge International,Bolivia
Save the Children,Bolivia
Society for International Development (SID),Bolivia
Solidarity Center,Bolivia
